CE,sigla,top,edicoes,nome,h5,NIVEL,sigla2
CE-CCI,3DIC,Eventos da Área,NA,IEEE International 3D Systems Integration Conference,NA,A8,3DIC
CE-GRAPI,3DV,Eventos da Área,NA,International Conference on 3D Vision,56,A1,3DV
CE-LP,<Programming>,Eventos da Área,NA,"International Conference on the Art, Science, and Engineering of Programming",NA,A8,<PROGRAMMING>
CE-IC,AAAI,Top 20,NA,AAAI Conference on Artificial Intelligence,232,A1,AAAI
CE-IHC,AAATE,Eventos da Área,NA,Association for the Advancement of Assistive Technology in Europe Conference,NA,A8,AAATE
CE-IA,AAMAS,Top 10,NA,International Conference on Autonomous Agents and Multiagent Systems,55,A1,AAMAS
CE-IHC,ABCIBER,Eventos da Área,NA,Congresso Brasileiro de Pesquisadores em Cibercultura,NA,A8,ABCIBER
CE-MF,ABZ,Top 20,NA,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",0,NA,ABZ
CE-R,ACC,Eventos da Área,NA,American Control Conference,50,A1,ACC
CE-GRAPI,ACCV,Eventos da Área,NA,Asian Conference on Computer Vision,60,A1,ACCV
CE-IHC,ACE,Eventos da Área,NA,International Conference on Advances in Computer Entertainment Technology,NA,A8,ACE
CE-RV,ACE-X,Eventos da Área,NA,International Conference on Advanced Computational Engineering and Experimenting,NA,A8,ACE-X
CE-IHC,ACII,Eventos da Área,NA,International Conference on Affective Computing and Intelligent Interaction,NA,A8,ACII
CE-R,ACIRS,Eventos da Área,NA,Asia-Pacific Conference on Intelligent Robot Systems,9,A6,ACIRS
CE-SI,ACIS,Eventos da Área,NA,Australasian Conference on Information Systems,17,A4,ACIS
CE-SEG,ACISP,Eventos da Área,NA,Australasian Conference on Information Security and Privacy,18,A4,ACISP
CE-GRAPI,ACIVS,Eventos da Área,NA,Advanced Concepts for Intelligent Vision Systems,NA,A8,ACIVS
CE-PLN,ACL,Top 10,NA,Annual Meeting of the Association for Computational Linguistics,236,A1,ACL
CE-IHC,ACM CC,Eventos da Área,NA,Creativity & Cognition,26,A2,ACM CC
CE-IHC,ACM CHI PLAY,Top 20,NA,Annual Symposium on Computer-Human Interaction in Play,NA,A6,ACM CHI PLAY
CE-WEBMEDIA,ACM DocEng,Eventos da Área,NA,ACM Symposium on Document Engineering,NA,A8,ACM DOCENG
CE-IHC,ACM HT,Eventos da Área,NA,ACM Hypertext Conference / Hipertext,NA,A8,ACM HT
CE-WEBMEDIA,ACM IMX,Top 10,NA,ACM International Conference on Interactive Media Experiences,20,A3,ACM IMX
CE-GRAPI,ACM Multimedia,Eventos da Área,NA,ACM International Conference on Multimedia,NA,A8,ACM MULTIMEDIA
CE-IA,ACM-CIKM,Eventos da Área,NA,ACM International Conference on Information and Knowledge Management,NA,A8,ACM-CIKM
CE-RV,ACM-MM,Eventos da Área,NA,ACM International Conference on Multimedia,NA,A8,ACM-MM
CE-RESD,ACMSOCC,Eventos da Área,NA,ACM Symposium on Cloud Computing,39,A1,ACMSOCC
CE-SEG,ACNS,Top 20,NA,Applied Cryptography and Network Security,28,A2,ACNS
CE-R,ACRA,Eventos da Área,NA,Australasian Conference on Robotics and Automation,NA,A8,ACRA
CE-SEG,ACSAC,Top 20,NA,Computer Security Applications Conference,40,A1,ACSAC
CE-BD,ADBIS,Top 20,NA,East European Conference on Advances in Databases and Information Systems,16,A3,ADBIS
CE-RESD,ADHOC-NOW,Eventos da Área,NA,International Conference on Ad-Hoc Networks and Wireless,NA,A8,ADHOC-NOW
CE-SI,AE-SBSI,Top 20,NA,Anais Estendidos do Simpósio Brasileiro de Sistemas de Informação,NA,A6,AE-SBSI
CE-CM,AES,Top 20,NA,International Convention of the Audio Engineering Society,NA,A6,AES
CE-CM,AES Brasil,Eventos da Área,NA,Congresso de Engenharia de Áudio da Audio Engineering Society Brasil.,NA,A8,AES BRASIL
CE-CM,AES-ICSA,Top 20,NA,AES International Conference on Semantic Audio,NA,A6,AES-ICSA
CE-Geoinformática,AGILEGIS,Top 10,NA,Conference on Geographic Information Science,NA,A5,AGILEGIS
CE-RV,AH,Top 10,NA,Augmented Human International Conference,20,A3,AH
CE-SI,AICT,Eventos da Área,NA,International Conference on Application of Information and Communication Technologies,17,A4,AICT
CE-IE,AIED,Top 10,NA,International Conference on Artificial Intelligence in Education,38,A1,AIED
CE-IA,AIIDE,Top 20,NA,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,23,A3,AIIDE
CE-R,AIM,Eventos da Área,NA,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,20,A3,AIM
CE-CAS,AIME,Top 20,NA,Conference on Artificial Intelligence in Medicine,19,A3,AIME
GI-L,AIML,TOP 20,NA,Advances in Modal Logic,NA,A6,AIML
CE-TF,AINA,Eventos da Área,NA,IEEE International Conference on Advanced Information Networking and Applications,23,A3,AINA
CE-IA,AISTATS,Top 20,NA,International Conference on Artificial Intelligence and Statistics,101,A1,AISTATS
CE-ES,AIware,Eventos da Área,NA,ACM International Conference on AI-powered Software,NA,A8,AIWARE
CE-RV,AIxVR,Top 20,NA,IEEE International Conference on Artificial Intelligence & eXtended and Virtual Reality,9,A5,AIXVR
CE-ACO,ALENEX,Eventos da Área,NA,SIAM Symposium on Algorithm Engineering and Experiments,NA,A8,ALENEX
CE-ACO,ALIO/EURO,Eventos da Área,NA,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,NA,A8,ALIO/EURO
CE-RESD,ALLERTON,Eventos da Área,NA,"Allerton Conference on Communication, Control, and Computing",32,A2,ALLERTON
CE-SI,AMCIS,Top 10,NA,Americas Conference on Information Systems,32,A2,AMCIS
CE-Geoinformática,AMD,Eventos da Área,NA,Workshop on Analysis of Movement Data,NA,A8,AMD
CE-CAS,AMIA,Top 10,NA,Annual Symposium of the American Medical Informatics Association,35,A1,AMIA
CE-BD,AMW,Eventos da Área,NA,Alberto Mendelzon International Workshop on Foundations of Data Management,0,NA,AMW
CE-ACO,ANALCO,Eventos da Área,NA,Workshop on Analytic Algorithmics and Combinatorics,NA,A8,ANALCO
CE-RESD,ANCS,Eventos da Área,NA,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,NA,A8,ANCS
CE-CM,ANPPOM,Top 20,NA,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,NA,A6,ANPPOM
CE-CCI,APCCAS,Eventos da Área,NA,IEEE Asia Pacific Conference on Circuits and Systems,16,A4,APCCAS
CE-LP,APLAS,Eventos da Área,NA,Asian Symposium on Programming Languages and Systems,13,A5,APLAS
CE-RESD,APNOMS,Eventos da Área,NA,Asia-Pacific Network Operations and Management Symposium,NA,A8,APNOMS
CE-ACO,APPROX-RANDOM,Top 20,NA,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,19,A3,APPROX-RANDOM
CE-BD,APWEB,Eventos da Área,NA,Asia-Pacific Web Conference,14,A5,APWEB
CE-CCI,ARC,Eventos da Área,NA,International Symposium on Applied Reconfigurable Computing,15,A4,ARC
CE-ACPAD,ARCS,Eventos da Área,NA,International Conference on Architecture of Computing Systems,11,A6,ARCS
CE-SEG,ARES,Top 20,NA,"International Conference on Availability, Reliability and Security",35,A1,ARES
CE-Geoinformática,ARIC,Eventos da Área,NA,International Workshop on Intelligent and Resilient Cities,NA,A8,ARIC
CE-R,ARSO,Eventos da Área,NA,IEEE Workshop on Advanced Robotics and its Social Impacts,0,NA,ARSO
CE-ACPAD,ASAP,Eventos da Área,NA,"IEEE International Conference on Application-specific Systems, Architectures and Processors",20,A3,ASAP
CE-ES,ASE,Top 10,NA,IEEE/ACM International Conference on Automated Software Engineering,57,A1,ASE
CE-SEG,ASIACCS,Top 10,NA,"ACM ASIA Symposium on Information, Computer and Communications Security",39,A1,ASIACCS
CE-SEG,ASIACRYPT,Top 10,NA,Annual International Conference on the Theory and Applications of Cryptology and Information Security,53,A1,ASIACRYPT
CE-SEG,ASID,Eventos da Área,NA,"International Conference on Anti-counterfeiting, Security, and Identification in Communication",11,A6,ASID
CE-WEBMEDIA,ASMS,Eventos da Área,NA,Advanced Satellite Multimedia Systems Conference,0,NA,ASMS
CE-SI,ASONAM,Eventos da Área,NA,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,36,A1,ASONAM
CE-CCI,ASP-DAC,Top 10,NA,Asia and South Pacific Design Automation Conference,38,A1,ASP-DAC
CE-LP,ASPLOS,Top 20,NA,International Conference on Architectural Support for Programming Languages and Operating Systems,77,A1,ASPLOS
CE-RV,ASPRS,Eventos da Área,NA,Annual Conference and International Lidar Mapping Forum,NA,A8,ASPRS
CE-ES,AST,Eventos da Área,NA,IEEE/ACM International Workshop on Automation of Software Testing,NA,A8,AST
CE-CCI,ASYNC,Top 20,NA,IEEE International Symposium on Asynchronous Circuits and Systems,NA,A6,ASYNC
CE-RESD,ATC,Eventos da Área,NA,USENIX Annual Technical Conference,59,A1,ATC
CE-CM,AUDIOMOSTLY,Top 20,NA,Audio Mostly Conference,NA,A6,AUDIOMOSTLY
CE-RV,AVI,Top 20,NA,International Working Conference on Advanced Visual Interfaces,20,A3,AVI
CE-GRAPI,AVSS,Eventos da Área,NA,IEEE International Conference on Advanced Video and Signal Based Surveillance,31,A2,AVSS
CE-BioComp,AlCoB,Top 20,NA,International Conference on Algorithms for Computational Biology,NA,A6,ALCOB
CE-ACO,AofA,Eventos da Área,NA,"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms",NA,A8,AOFA
CE-CAS,BCB,Top 10,NA,"ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",28,A2,BCB
CE-IHC,BCS-HCI,Eventos da Área,NA,Conference of the British Computer Society Human Computer Interaction Specialist Group,NA,A8,BCS-HCI
CE-BD,BDCLOUD,Eventos da Área,NA,International Conference on Big Data and Cloud Computing,7,A7,BDCLOUD
CE-SC,BESC,Eventos da Área,NA,"International Conference on Behavior, Economic and Social Computing",NA,A8,BESC
CE-CAS,BHI,Top 10,NA,International Conference on Biomedical and Health Informatics,NA,A5,BHI
CE-BioComp,BIATA,Top 20,NA,Bioinformatics: from Algorithms to Applications,NA,A6,BIATA
CE-BioComp,BIBE,Top 10,NA,IEEE International Conference on BioInformatics and BioEngineering,NA,A5,BIBE
CE-BioComp,BIBM,Top 10,NA,IEEE International Conference on Bioinformatics and Biomedicine,33,A2,BIBM
CE-BD,BIGDATASERVICE,Eventos da Área,NA,IEEE International Conference on Big Data Computing Service and Applications,18,A4,BIGDATASERVICE
CE-GRAPI,BIGMM,Eventos da Área,NA,IEEE International Conference on Multimedia Big Data,22,A3,BIGMM
CE-SI,BIS,Eventos da Área,NA,International Conference on Business Information Systems,17,A4,BIS
CE-WEBMEDIA,BMSB,Eventos da Área,NA,IEEE International Symposium on Broadband Multimedia Systems and Broadcasting,17,A4,BMSB
CE-GRAPI,BMVC,Eventos da Área,NA,British Machine Vision Conference,77,A1,BMVC
CE-SI,BPM,Top 10,NA,International Conference on Business Process Management,33,A2,BPM
CE-SI,BPMS2,Eventos da Área,NA,Workshop on Social and Human Aspects of Business Process Management,NA,A8,BPMS2
CE-IA,BRACIS,Top 10,12,Brazilian Conference on Intelligent Systems,18,A3,BRACIS
CE-R,BRAHUR*,Eventos da Área,NA,Brazilian Humanoid Robot Workshop,NA,A8,BRAHUR*
CE-R,BRASERO*,Eventos da Área,NA,Brazilian Workshop on Service Robotics,NA,A8,BRASERO*
