issn,percentil,NIVEL,name
00010782,98,A1,Communications of the ACM
00011452,81,A2,AIAA Journal
00011541,77,A2,AIChE Journal
00012092,40,A5,AORN Journal
00012343,21,A7,Archiv fur Rechts- und Sozialphilosophie
00012491,18,A7,ASHRAE Journal
00012610,1,A8,Planning
00012998,95,A1,Seminars in Nuclear Medicine
00013072,64,A3,Abacus
00013765,67,A3,Anais da Academia Brasileira de Ciencias
00014079,32,A6,Bulletin de l'Academie Nationale de Medecine
00014192,9,A8,Bulletin de l'Academie Veterinaire de France
00014273,98,A1,Academy of Management Journal
00014338,25,A6,"Izvestiya, Atmospheric and Oceanic Physics"
00014346,42,A5,Mathematical Notes
00014370,38,A5,Oceanology
00014575,99,A1,Accident Analysis and Prevention
00014788,61,A4,Accounting and Business Research
00014826,86,A2,Accounting Review
00014842,98,A1,Accounts of Chemical Research
00014966,86,A2,Journal of the Acoustical Society of America
00015113,33,A6,Acta Adriatica
00015164,15,A7,Acta Anaesthesiologica Belgica
00015172,71,A3,Acta Anaesthesiologica Scandinavica
00015202,12,A8,Acta Arachnologica
00015210,70,A3,Acta Archaeologica Academiae Scientiarum Hungaricae
00015237,45,A5,Acta Astronomica
0001527X,51,A4,Acta Biochimica Polonica
00015296,15,A7,Acta Biologica Cracoviensia Series Botanica
00015342,95,A1,Acta Biotheoretica
00015385,57,A4,Acta Cardiologica
00015415,31,A6,Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca
00015423,19,A7,Acta Chirurgiae Plasticae
00015458,47,A5,Acta Chirurgica Belgica
00015547,56,A4,Acta Cytologica
00015555,82,A2,Acta Dermato-Venereologica
00015652,26,A6,Human Heredity
00015709,39,A5,Acta Geologica Polonica
00015717,68,A3,Dizhi Xuebao/Acta Geologica Sinica
00015733,66,A3,Acta Geophysica Sinica
00015792,48,A5,Acta Haematologica
00015814,26,A6,Acta Haematologica Polonica
00015903,39,A5,Acta Informatica
00015962,100,A1,Acta Mathematica
00015970,70,A3,Acta Mechanica
00016071,31,A6,Acta Medica Philippina
00016209,22,A7,Acta Microbiologica Sinica
00016241,55,A4,Acta Musicologica
0001625X,17,A7,Acta Mycologica
00016268,74,A3,Acta Neurochirurgica
00016314,81,A2,Acta Neurologica Scandinavica
00016322,99,A1,Acta Neuropathologica
00016349,87,A2,Acta Obstetricia et Gynecologica Scandinavica
00016357,64,A3,Acta Odontologica Scandinavica
00016373,55,A4,Acta Oeconomica
00016446,71,A3,Acta Orientalia
00016454,69,A3,Acta Ornithologica
00016462,32,A6,Acta Orthopaedica Belgica
00016489,50,A4,Acta Oto-Laryngologica
00016519,40,A5,Acta Otorrinolaringologica Espanola
00016594,40,A5,Acta Palaeobotanica
00016616,17,A7,Acta Palaeontologica Sinica
00016810,78,A2,Acta Politica
00016829,25,A6,Acta Poloniae Historica
00016837,24,A7,Acta Poloniae Pharmaceutica - Drug Research
00016896,1,A8,Acta Psiquiatrica y Psicologica de America Latina
0001690X,93,A1,Acta Psychiatrica Scandinavica
00016918,80,A2,Acta Psychologica
